datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/3/2019 8:00:00 PM,1/3/2019 3:00:00 PM,1,PJM-RTO,,,ZONE,,21.430000,21.442459,0.000000,0.009959,True,1
1/3/2019 9:00:00 PM,1/3/2019 4:00:00 PM,1,PJM-RTO,,,ZONE,,21.520000,21.532201,0.000000,0.011368,True,1
1/3/2019 10:00:00 PM,1/3/2019 5:00:00 PM,1,PJM-RTO,,,ZONE,,24.010000,24.022007,0.000000,0.012841,True,1
1/3/2019 11:00:00 PM,1/3/2019 6:00:00 PM,1,PJM-RTO,,,ZONE,,23.440000,23.453374,0.000036,0.011671,True,1
1/4/2019 12:00:00 AM,1/3/2019 7:00:00 PM,1,PJM-RTO,,,ZONE,,24.780000,24.794204,0.002634,0.013237,True,1
1/4/2019 1:00:00 AM,1/3/2019 8:00:00 PM,1,PJM-RTO,,,ZONE,,23.220000,23.236130,0.003354,0.013610,True,1
1/4/2019 2:00:00 AM,1/3/2019 9:00:00 PM,1,PJM-RTO,,,ZONE,,21.490000,21.507952,0.001990,0.011796,True,1
1/4/2019 3:00:00 AM,1/3/2019 10:00:00 PM,1,PJM-RTO,,,ZONE,,20.810000,20.821342,0.000007,0.013001,True,1
1/4/2019 4:00:00 AM,1/3/2019 11:00:00 PM,1,PJM-RTO,,,ZONE,,20.300000,20.308540,0.000000,0.012706,True,1
1/4/2019 5:00:00 AM,1/4/2019 12:00:00 AM,1,PJM-RTO,,,ZONE,,19.620000,19.628814,0.000266,0.012715,True,1
1/4/2019 6:00:00 AM,1/4/2019 1:00:00 AM,1,PJM-RTO,,,ZONE,,18.510000,18.555324,0.029159,0.012832,True,1
1/4/2019 7:00:00 AM,1/4/2019 2:00:00 AM,1,PJM-RTO,,,ZONE,,19.620000,19.629984,0.002211,0.011940,True,1
1/4/2019 8:00:00 AM,1/4/2019 3:00:00 AM,1,PJM-RTO,,,ZONE,,19.880000,19.891214,0.000086,0.011962,True,1
1/4/2019 9:00:00 AM,1/4/2019 4:00:00 AM,1,PJM-RTO,,,ZONE,,20.520000,20.540094,0.003492,0.012436,True,1
1/4/2019 10:00:00 AM,1/4/2019 5:00:00 AM,1,PJM-RTO,,,ZONE,,22.030000,22.045763,0.005960,0.013136,True,1
1/4/2019 11:00:00 AM,1/4/2019 6:00:00 AM,1,PJM-RTO,,,ZONE,,28.810000,28.849041,0.026268,0.017773,True,1
1/4/2019 12:00:00 PM,1/4/2019 7:00:00 AM,1,PJM-RTO,,,ZONE,,31.940000,31.976417,0.022671,0.017912,True,1
1/4/2019 1:00:00 PM,1/4/2019 8:00:00 AM,1,PJM-RTO,,,ZONE,,26.040000,26.070114,0.012823,0.014791,True,1
1/4/2019 2:00:00 PM,1/4/2019 9:00:00 AM,1,PJM-RTO,,,ZONE,,35.530000,35.583522,0.033781,0.020575,True,1
1/4/2019 3:00:00 PM,1/4/2019 10:00:00 AM,1,PJM-RTO,,,ZONE,,24.680000,24.703109,0.010978,0.014631,True,1
1/4/2019 4:00:00 PM,1/4/2019 11:00:00 AM,1,PJM-RTO,,,ZONE,,24.630000,24.654933,0.010258,0.015508,True,1
1/4/2019 5:00:00 PM,1/4/2019 12:00:00 PM,1,PJM-RTO,,,ZONE,,23.820000,23.836372,0.003998,0.012373,True,1
1/4/2019 6:00:00 PM,1/4/2019 1:00:00 PM,1,PJM-RTO,,,ZONE,,24.080000,24.088283,0.001494,0.010123,True,1
1/4/2019 7:00:00 PM,1/4/2019 2:00:00 PM,1,PJM-RTO,,,ZONE,,22.920000,22.934978,0.001101,0.013877,True,1
1/4/2019 8:00:00 PM,1/4/2019 3:00:00 PM,1,PJM-RTO,,,ZONE,,22.170000,22.186820,0.000899,0.011754,True,1
1/4/2019 9:00:00 PM,1/4/2019 4:00:00 PM,1,PJM-RTO,,,ZONE,,23.850000,23.860892,0.000641,0.012751,True,1
1/4/2019 10:00:00 PM,1/4/2019 5:00:00 PM,1,PJM-RTO,,,ZONE,,28.380000,28.392375,0.000380,0.015328,True,1
1/4/2019 11:00:00 PM,1/4/2019 6:00:00 PM,1,PJM-RTO,,,ZONE,,27.310000,27.327232,0.000356,0.014376,True,1
1/5/2019 12:00:00 AM,1/4/2019 7:00:00 PM,1,PJM-RTO,,,ZONE,,23.170000,23.181968,0.000138,0.010997,True,1
1/5/2019 1:00:00 AM,1/4/2019 8:00:00 PM,1,PJM-RTO,,,ZONE,,22.270000,22.281942,0.000000,0.012775,True,1
1/5/2019 2:00:00 AM,1/4/2019 9:00:00 PM,1,PJM-RTO,,,ZONE,,20.010000,20.025432,0.000000,0.011265,True,1
1/5/2019 3:00:00 AM,1/4/2019 10:00:00 PM,1,PJM-RTO,,,ZONE,,20.130000,20.143626,0.000000,0.010293,True,1
1/5/2019 4:00:00 AM,1/4/2019 11:00:00 PM,1,PJM-RTO,,,ZONE,,19.890000,19.901141,0.000000,0.011141,True,1
1/5/2019 5:00:00 AM,1/5/2019 12:00:00 AM,1,PJM-RTO,,,ZONE,,24.030000,24.043941,0.000000,0.012274,True,1
1/5/2019 6:00:00 AM,1/5/2019 1:00:00 AM,1,PJM-RTO,,,ZONE,,21.250000,21.262552,0.000000,0.012552,True,1
1/5/2019 7:00:00 AM,1/5/2019 2:00:00 AM,1,PJM-RTO,,,ZONE,,23.610000,23.654865,0.036432,0.010933,True,1
1/5/2019 8:00:00 AM,1/5/2019 3:00:00 AM,1,PJM-RTO,,,ZONE,,19.920000,19.933677,0.000000,0.010344,True,1
1/5/2019 9:00:00 AM,1/5/2019 4:00:00 AM,1,PJM-RTO,,,ZONE,,21.280000,21.292559,0.000000,0.011726,True,1
1/5/2019 10:00:00 AM,1/5/2019 5:00:00 AM,1,PJM-RTO,,,ZONE,,20.940000,20.950709,0.000000,0.012375,True,1
1/5/2019 11:00:00 AM,1/5/2019 6:00:00 AM,1,PJM-RTO,,,ZONE,,19.910000,19.919466,0.000000,0.011966,True,1
1/5/2019 12:00:00 PM,1/5/2019 7:00:00 AM,1,PJM-RTO,,,ZONE,,22.890000,22.902734,0.000000,0.012734,True,1
